TagName,Tag,AcceptanceCriteria,SeleniaDimensions_1.2.840.10008.5.1.4.1.1.1.2,SeleniaDimensions_1.2.840.10008.5.1.4.1.1.13.1.3,SeleniaDimensions_1.2.840.10008.5.1.4.1.1.7,SeleniaDimensions_1.2.840.10008.5.1.4.1.1.1.2-Rule,SeleniaDimensions_1.2.840.10008.5.1.4.1.1.13.1.3-Rule,SeleniaDimensions_1.2.840.10008.5.1.4.1.1.7-Rule
ImageType,"[""0008"",""0008""]",HOL-10,"['DERIVED', 'PRIMARY']|['DERIVED', 'SECONDARY']|['DERIVED', 'PRIMARY', 'TOMOSYNTHESIS', 'GENERATED_2D']","['DERIVED', 'PRIMARY']|['DERIVED', 'PRIMARY', 'VOLUME', 'NONE']|['DERIVED', 'PRIMARY', 'TOMOSYNTHESIS', 'NONE']|['DERIVED', 'PRIMARY', 'TOMOSYNTHESIS', 'MEAN']|['DERIVED', 'PRIMARY', 'TOMOSYNTHESIS', 'GENERATED_2D']","['DERIVED', 'PRIMARY']",IN,IN,EQUAL
EstimatedRadiographicMagnificationFactor,"[""0018"",""1114""]",HOL-20,1|1.073,1|1.073,1|1.073,NOT_DIFF,NOT_DIFF,NOT_DIFF
PhotometricInterpretation,"[""0028"",""0004""]",HOL-30,MONOCHROME2,MONOCHROME2,MONOCHROME2,EQUAL,EQUAL,EQUAL
BitsAllocated,"[""0028"",""0100""]",HOL-40,16,16,16,EQUAL,EQUAL,EQUAL
BitsStored,"[""0028"",""0101""]",HOL-50,10|12,10|12,10|12,IN,IN,IN
HighBit,"[""0028"",""0102""]",HOL-60,9|11,9|10|11,9|10|11,IN,IN,IN
Grid,"[""0018"",""1166""]",HOL-110,HTC_IN|IN|NONE,N/A,N/A,IN,N/A,N/A
FocalSpots,"[""0018"",""1190""]",HOL-120,0.3,0.3,0.3,NOT_DIFF,NOT_DIFF,NOT_DIFF
ExposureStatus,"[""0018"",""7064""]",HOL-130,NORMAL,NORMAL,NORMAL,NOT_DIFF,NOT_DIFF,NOT_DIFF
Rows,"[""0028"",""0010""]",HOL-140,"[1750,5000]","[1750,5000]",RANGE,RANGE,RANGE,N/A
Columns,"[""0028"",""0011""]",HOL-150,"[1750,5000]","[1750,5000]",RANGE,RANGE,RANGE,N/A
PixelIntensityRelationship,"[""0028"", ""1040""]",HOL-180,LOG,LOG,LOG,EQUAL,NOT_DIFF,NOT_DIFF
PixelIntensityRelationshipSign,"[""0028"",""1041""]",HOL-190,-1,-1,-1,EQUAL,NOT_DIFF,NOT_DIFF
PresentationLUTShape,"[""2050"",""0020""]",HOL-200,IDENTITY,IDENTITY,IDENTITY,EQUAL,EQUAL,EQUAL
SeriesDescription,"[""0008"",""103E""]",HOL-210,(LE)|(HE)|(DES),(LE)|(HE)|(DES),(LE)|(HE)|(DES),NOT_CONTAINS,NOT_CONTAINS,NOT_CONTAINS
